"name","year","quarter","count"
"Ruby","2012","2","16944"
"Python","2012","2","15846"
"JavaScript","2012","2","15246"
"PHP","2012","2","13944"
"Java","2012","2","7470"
"C++","2012","2","4743"
"C","2012","2","3187"
"Scala","2012","2","1887"
"C#","2012","2","1877"
"Objective-C","2012","2","1505"
"Shell","2012","2","1365"
"HTML","2012","2","1041"
"Erlang","2012","2","629"
"CoffeeScript","2012","2","609"
"Perl","2012","2","603"
"Haskell","2012","2","577"
"Emacs Lisp","2012","2","511"
"CSS","2012","2","468"
"Clojure","2012","2","388"
"Lua","2012","2","337"
"Go","2012","2","310"
"TypeScript","2012","2","262"
"Groovy","2012","2","230"
"Puppet","2012","2","180"
"XSLT","2012","2","172"
"Objective-J","2012","2","127"
"Elixir","2012","2","122"
"nesC","2012","2","109"
"ColdFusion","2012","2","108"
"Web Ontology Language","2012","2","98"
"Vim script","2012","2","91"
"Common Lisp","2012","2","81"
"VimL","2012","2","77"
"ActionScript","2012","2","73"
"Makefile","2012","2","62"
"PowerShell","2012","2","57"
"Haxe","2012","2","55"
"Vala","2012","2","51"
"Nix","2012","2","51"
"Delphi","2012","2","48"
"D","2012","2","46"
"LiveScript","2012","2","44"
"Pascal","2012","2","42"
"OCaml","2012","2","36"
"Raku","2012","2","28"
"ECL","2012","2","27"
"DCPU-16 ASM","2012","2","27"
"Vim Script","2012","2","22"
"DM","2012","2","19"
"TeX","2012","2","17"
"CMake","2012","2","17"
"Standard ML","2012","2","16"
"Gherkin","2012","2","16"
"ApacheConf","2012","2","15"
"Roff","2012","2","15"
"Common Workflow Language","2012","2","14"
"Arduino","2012","2","14"
"Swift","2012","2","13"
"Rust","2012","2","13"
"Augeas","2012","2","13"
"BlitzBasic","2012","2","11"
"Smalltalk","2012","2","11"
"Perl 6","2012","2","10"
"PostScript","2012","2","10"
"Perl6","2012","2","10"
"Sass","2012","2","9"
"Objective-C++","2012","2","9"
"Matlab","2012","2","8"
"Scheme","2012","2","8"
"Factor","2012","2","7"
"F#","2012","2","7"
"Kotlin","2012","2","6"
"AGS Script","2012","2","6"
"Assembly","2012","2","6"
"Dylan","2012","2","6"
"Tcl","2012","2","6"
"Boo","2012","2","6"
"Fortran","2012","2","6"
"R","2012","2","5"
"AutoHotkey","2012","2","5"
"Smarty","2012","2","5"
"Ragel","2012","2","5"
"Apex","2012","2","5"
"Visual Basic","2012","2","5"
"Groff","2012","2","4"
"Oz","2012","2","4"
"Io","2012","2","4"
"BitBake","2012","2","4"
"DOT","2012","2","4"
"CartoCSS","2012","2","3"
"Brightscript","2012","2","3"
"Agda","2012","2","3"
"GAP","2012","2","2"
"Jupyter Notebook","2012","2","2"
"Ceylon","2012","2","2"
"Dart","2012","2","2"
"Max","2012","2","2"
"Batchfile","2012","2","2"
"VCL","2012","2","2"
"Awk","2012","2","2"
"JavaScript","2012","3","18785"
"Python","2012","3","18185"
"Ruby","2012","3","17742"
"PHP","2012","3","16931"
"Java","2012","3","8966"
"C++","2012","3","5074"
"C","2012","3","4434"
"Scala","2012","3","2491"
"Shell","2012","3","2111"
"Objective-C","2012","3","1827"
"C#","2012","3","1811"
"HTML","2012","3","1493"
"CoffeeScript","2012","3","862"
"Perl","2012","3","729"
"Erlang","2012","3","630"
"Haskell","2012","3","617"
"CSS","2012","3","579"
"Emacs Lisp","2012","3","553"
"Clojure","2012","3","546"
"Go","2012","3","543"
"Lua","2012","3","434"
"Groovy","2012","3","387"
"TypeScript","2012","3","236"
"nesC","2012","3","236"
"Nix","2012","3","167"
"Objective-J","2012","3","143"
"Puppet","2012","3","121"
"XSLT","2012","3","120"
"VimL","2012","3","115"
"Vim script","2012","3","114"
"Elixir","2012","3","109"
"ColdFusion","2012","3","94"
"Kotlin","2012","3","83"
"ActionScript","2012","3","80"
"PowerShell","2012","3","70"
"D","2012","3","68"
"Delphi","2012","3","65"
"BlitzBasic","2012","3","65"
"Common Lisp","2012","3","62"
"OCaml","2012","3","58"
"Haxe","2012","3","55"
"Smalltalk","2012","3","53"
"Makefile","2012","3","48"
"Gherkin","2012","3","47"
"LiveScript","2012","3","44"
"Rust","2012","3","42"
"Common Workflow Language","2012","3","36"
"Matlab","2012","3","27"
"ECL","2012","3","25"
"Dart","2012","3","25"
"TeX","2012","3","23"
"Swift","2012","3","22"
"Pascal","2012","3","22"
"Fortran","2012","3","22"
"Batchfile","2012","3","21"
"Tcl","2012","3","21"
"ApacheConf","2012","3","20"
"F#","2012","3","20"
"Raku","2012","3","19"
"Jupyter Notebook","2012","3","18"
"DOT","2012","3","18"
"Vala","2012","3","18"
"Perl 6","2012","3","16"
"PostScript","2012","3","15"
"Web Ontology Language","2012","3","15"
"Augeas","2012","3","14"
"Vim Script","2012","3","13"
"Roff","2012","3","12"
"AutoHotkey","2012","3","11"
"Gettext Catalog","2012","3","10"
"CMake","2012","3","10"
"Objective-C++","2012","3","10"
"Perl6","2012","3","8"
"Standard ML","2012","3","7"
"Verilog","2012","3","6"
"MATLAB","2012","3","6"
"Coq","2012","3","6"
"Factor","2012","3","6"
"Oz","2012","3","5"
"CartoCSS","2012","3","5"
"AGS Script","2012","3","5"
"Pure Data","2012","3","5"
"Smarty","2012","3","5"
"Visual Basic","2012","3","4"
"Modelica","2012","3","4"
"R","2012","3","4"
"M4","2012","3","4"
"BitBake","2012","3","4"
"VCL","2012","3","4"
"PLpgSQL","2012","3","4"
"DCPU-16 ASM","2012","3","3"
"FORTRAN","2012","3","3"
"Logos","2012","3","2"
"OpenSCAD","2012","3","2"
"Scheme","2012","3","2"
"Io","2012","3","2"
"VHDL","2012","3","2"
"Opa","2012","3","2"
"Apex","2012","3","2"
"AppleScript","2012","3","2"
"Python","2012","4","22291"
"Ruby","2012","4","22169"
"JavaScript","2012","4","20845"
"PHP","2012","4","17608"
"Java","2012","4","11616"
"C++","2012","4","6094"
"C","2012","4","5753"
"C#","2012","4","2224"
"Shell","2012","4","2177"
"Objective-C","2012","4","2144"
"Scala","2012","4","2137"
"HTML","2012","4","1892"
"Perl","2012","4","1021"
"CoffeeScript","2012","4","934"
"CSS","2012","4","866"
"Go","2012","4","858"
"Haskell","2012","4","785"
"Erlang","2012","4","778"
"Clojure","2012","4","612"
"Lua","2012","4","564"
"Emacs Lisp","2012","4","530"
"TypeScript","2012","4","456"
"Groovy","2012","4","395"
"nesC","2012","4","312"
"Puppet","2012","4","218"
"Elixir","2012","4","210"
"Nix","2012","4","175"
"VimL","2012","4","144"
"Vim script","2012","4","129"
"Delphi","2012","4","126"
"Jupyter Notebook","2012","4","120"
"ColdFusion","2012","4","120"
"TSQL","2012","4","117"
"Common Lisp","2012","4","102"
"Kotlin","2012","4","83"
"Standard ML","2012","4","77"
