name,cnt
Curry,1
just,1
INI,1
BrighterScript,1
Bikeshed,1
OpenAPI Specification v2,1
NWScript,1
reStructuredText,1
Cairo,1
DenizenScript,1
Imba,1
Ink,1
SVG,1
Mint,1
KiCad Schematic,1
Org,1
Vyper,1
Polar,2
Adblock Filter List,2
Smithy,2
Whiley,2
CSON,2
Dafny,2
Move,2
Gleam,2
PDDL,2
hoon,3
mcfunction,3
Yul,3
Ring,3
NetLinx+ERB,3
GAML,3
ZAP,4
Beef,4
Portugol,4
SugarSS,4
Wren,4
Wollok,4
Futhark,5
KakouneScript,5
Q#,5
Macaulay2,5
Cadence,5
Berry,6
Boogie,6
RPGLE,6
JSON,6
Velocity Template Language,6
Odin,6
LoomScript,7
TI Program,7
RUNOFF,7
ZenScript,8
Elvish,8
Befunge,8
Omgrofl,8
Witcher Script,9
Markdown,9
DataWeave,9
HolyC,9
Scaml,9
Mermaid,10
Cypher,10
Opal,10
Charity,10
CUE,11
CAP CDS,11
Sieve,11
Glyph,11
Kaitai Struct,11
MTML,12
RouterOS Script,12
Marko,12
Rouge,12
Motoko,12
PogoScript,12
EQ,12
YAML,13
Xonsh,13
Astro,13
Genero,14
LFE,15
Grace,15
Genero Forms,15
ObjectScript,15
Tea,16
Fennel,16
Jolie,16
OpenQASM,17
Monkey C,17
AL,17
Shen,17
Genie,17
Riot,17
Bicep,17
REALbasic,17
ShellSession,18
Earthly,18
GSC,19
Ox,19
PowerBuilder,19
Faust,19
Slice,20
Modula-3,20
Singularity,20
X10,20
Filebench WML,20
CodeQL,20
Ballerina,22
TXL,22
JetBrains MPS,22
Nasal,22
Zeek,22
wisp,23
Zig,24
Promela,24
Moocode,24
Ecl,24
Reason,25
Visual Basic 6.0,25
ECL,25
NetLinx,25
Self,26
ImageJ Macro,26
Nit,27
Dogescript,27
Asymptote,27
Closure Templates,27
DCPU-16 ASM,28
kvlang,29
Open Policy Agent,29
Qt Script,29
Golo,30
Latte,30
KRL,30
F*,31
wdl,31
Pep8,33
XPages,33
Nearley,33
MLIR,34
Oxygene,35
Zimpl,37
Grammatical Framework,37
Uno,37
P4,39
Fantom,39
JFlex,39
